"COD_MKT_ID","AREA","MACROSETTORE","SETTORE","REPARTO","CATEGORIA","SOTTOCATEGORIA","SEGMENTO"
"1052","Non alimentari","No Food","STAGIONALI E BRICO","FAI DA TE","UTENSILERIA MANUALE","UTENSILI MURATORI","SPAZZOLE"
"1053","Non alimentari","No Food","STAGIONALI E BRICO","FAI DA TE","UTENSILERIA MANUALE","UTENSILI MURATORI","ALTRI"
"1054","Non alimentari","No Food","STAGIONALI E BRICO","FAI DA TE","UTENSILERIA MANUALE","ALTRI UTENSILI","INGRASSATORI/OLIATORI"
"1055","Non alimentari","No Food","STAGIONALI E BRICO","FAI DA TE","UTENSILERIA MANUALE","ALTRI UTENSILI","RIVETTATRICI E RICAMBI"
"1056","Non alimentari","No Food","STAGIONALI E BRICO","FAI DA TE","UTENSILERIA MANUALE","ALTRI UTENSILI","GRAFFATRICI E RICAMBI"
"1057","Non alimentari","No Food","STAGIONALI E BRICO","FAI DA TE","UTENSILERIA MANUALE","ALTRI UTENSILI","OCCHIELLATRICI"
"1058","Non alimentari","No Food","STAGIONALI E BRICO","FAI DA TE","UTENSILERIA MANUALE","ALTRI UTENSILI","MORSE-MORSETTI"
"1059","Non alimentari","No Food","STAGIONALI E BRICO","FAI DA TE","UTENSILERIA MANUALE","ALTRI UTENSILI","INCUDINI"
"1060","Non alimentari","No Food","STAGIONALI E BRICO","FAI DA TE","UTENSILERIA MANUALE","ALTRI UTENSILI","TAVOLI DI LAVORO"
"1061","Non alimentari","No Food","STAGIONALI E BRICO","FAI DA TE","UTENSILERIA MANUALE","ALTRI UTENSILI","ARGANI E PARANCHI"
"1062","Non alimentari","No Food","STAGIONALI E BRICO","FAI DA TE","UTENSILERIA MANUALE","ALTRI UTENSILI","CONFEZIONI MULTIPLE (VALIGETTE"
"1063","Non alimentari","No Food","STAGIONALI E BRICO","FAI DA TE","UTENSILERIA MANUALE","ALTRI UTENSILI","GUANTI"
"1064","Non alimentari","No Food","STAGIONALI E BRICO","FAI DA TE","UTENSILERIA MANUALE","ALTRI UTENSILI","ALTRI"
"1065","Non alimentari","No Food","STAGIONALI E BRICO","FAI DA TE","SICUREZZA","ANTIFORTUNISTICHE","SCARPE"
"1066","Non alimentari","No Food","STAGIONALI E BRICO","FAI DA TE","SICUREZZA","ANTIFORTUNISTICHE","PROTEZIONE VISO"
"1067","Non alimentari","No Food","STAGIONALI E BRICO","FAI DA TE","SICUREZZA","ANTIFORTUNISTICHE","ABBIGLIAMENTO"
"1068","Non alimentari","No Food","STAGIONALI E BRICO","FAI DA TE","SICUREZZA","ANTIFORTUNISTICHE","ALTRI"
"1069","Non alimentari","No Food","STAGIONALI E BRICO","FAI DA TE","SICUREZZA","ANTIFORTUNISTICHE","GUANTI"
"1070","Non alimentari","No Food","STAGIONALI E BRICO","FAI DA TE","ATTREZZI ELETTRICI","UTENSILERIA ELETTRICA","TRAPANI ELETTRICI"
"1071","Non alimentari","No Food","STAGIONALI E BRICO","FAI DA TE","ATTREZZI ELETTRICI","UTENSILERIA ELETTRICA","SEGHE ELETTRICHE"
"1072","Non alimentari","No Food","STAGIONALI E BRICO","FAI DA TE","ATTREZZI ELETTRICI","UTENSILERIA ELETTRICA","LEVIGATRICI ELETTRICHE"
"1073","Non alimentari","No Food","STAGIONALI E BRICO","FAI DA TE","ATTREZZI ELETTRICI","UTENSILERIA ELETTRICA","FRESATRICI E TORNI ELETTR."
"1074","Non alimentari","No Food","STAGIONALI E BRICO","FAI DA TE","ATTREZZI ELETTRICI","UTENSILERIA ELETTRICA","PIALLETTI ELETTRICI"
"1075","Non alimentari","No Food","STAGIONALI E BRICO","FAI DA TE","ATTREZZI ELETTRICI","UTENSILERIA ELETTRICA","SMERIGLIATRICI ELETTRICHE"
"1076","Non alimentari","No Food","STAGIONALI E BRICO","FAI DA TE","ATTREZZI ELETTRICI","UTENSILERIA ELETTRICA","CUCITRICI ELETTRICHE"
"1077","Non alimentari","No Food","STAGIONALI E BRICO","FAI DA TE","ATTREZZI ELETTRICI","UTENSILERIA ELETTRICA","TERMOSOFFIANTI ELETTRICI"
"1078","Non alimentari","No Food","STAGIONALI E BRICO","FAI DA TE","ATTREZZI ELETTRICI","UTENSILERIA ELETTRICA","ALTRI ELETTRICI"
"1079","Non alimentari","No Food","STAGIONALI E BRICO","FAI DA TE","ATTREZZI ELETTRICI","UTENSILERIA RICARICABILE","TRAPANI RICARICABILI"
"1080","Non alimentari","No Food","STAGIONALI E BRICO","FAI DA TE","ATTREZZI ELETTRICI","UTENSILERIA RICARICABILE","AVVITATORI RICARICABILI"
"1081","Non alimentari","No Food","STAGIONALI E BRICO","FAI DA TE","ATTREZZI ELETTRICI","UTENSILERIA RICARICABILE","ALTRI RICARICABILI"
"1082","Alimentari","Freschi","FRESCHI","SURGELATI","CONGELATO SFUSO","PESCE","AL NATURALE"
"1083","Alimentari","Freschi","FRESCHI","SURGELATI","CONGELATO SFUSO","PESCE","PANATO/ELABORATO"
"1084","Alimentari","Freschi","FRESCHI","SURGELATI","CONGELATO SFUSO","CARNE","AL NATURALE"
"1085","Alimentari","Freschi","FRESCHI","SURGELATI","CONGELATO SFUSO","CARNE","PANATO/ELABORATO"
"1086","Alimentari","Freschi","FRESCHI","SURGELATI","CONGELATO SFUSO","VERDURE","AL NATURALE"
"1087","Alimentari","Freschi","FRESCHI","SURGELATI","CONGELATO SFUSO","VERDURE","ELABORATE"
"1088","Alimentari","Freschi","FRESCHI","SURGELATI","CONGELATO SFUSO","ALTRO","AL NATURALE"
"1089","Alimentari","Freschi","FRESCHI","SURGELATI","CONGELATO SFUSO","ALTRO","ELABORATO"
"1090","Alimentari","Freschi","FRESCHI","SURGELATI","SURGELATI VEGETALI","LEGUMI","PISELLI"
"1091","Alimentari","Freschi","FRESCHI","SURGELATI","SURGELATI VEGETALI","LEGUMI","FAGIOLINI"
"1092","Alimentari","Freschi","FRESCHI","SURGELATI","SURGELATI VEGETALI","LEGUMI","FAGIOLI"
"1093","Alimentari","Freschi","FRESCHI","SURGELATI","SURGELATI VEGETALI","LEGUMI","ALTRI"
"1094","Alimentari","Freschi","FRESCHI","SURGELATI","SURGELATI VEGETALI","MINESTRONI/ZUPPE","MINESTRONI"
"1095","Alimentari","Freschi","FRESCHI","SURGELATI","SURGELATI VEGETALI","MINESTRONI/ZUPPE","MISTI PER ZUPPE"
"1096","Alimentari","Freschi","FRESCHI","SURGELATI","SURGELATI VEGETALI","VERDURE IN FOGLIA","SPINACI"
"1097","Alimentari","Freschi","FRESCHI","SURGELATI","SURGELATI VEGETALI","VERDURE IN FOGLIA","BIETOLA"
"1098","Alimentari","Freschi","FRESCHI","SURGELATI","SURGELATI VEGETALI","VERDURE IN FOGLIA","ALTRE"
"1099","Alimentari","Freschi","FRESCHI","SURGELATI","SURGELATI VEGETALI","ALTRE VERDURE","CONTORNI"
"1100","Alimentari","Freschi","FRESCHI","SURGELATI","SURGELATI VEGETALI","ALTRE VERDURE","FUNGHI"
"1101","Alimentari","Freschi","FRESCHI","SURGELATI","SURGELATI VEGETALI","ALTRE VERDURE","CARCIOFI"
"1102","Alimentari","Freschi","FRESCHI","SURGELATI","SURGELATI VEGETALI","ALTRE VERDURE","ASPARAGI"
"1103","Alimentari","Freschi","FRESCHI","SURGELATI","SURGELATI VEGETALI","ALTRE VERDURE","BROCCOLI/CAVOLI"
"1104","Alimentari","Freschi","FRESCHI","SURGELATI","SURGELATI VEGETALI","ALTRE VERDURE","ZUCCHINE"
"1105","Alimentari","Freschi","FRESCHI","SURGELATI","SURGELATI VEGETALI","ALTRE VERDURE","CAROTE"
"1106","Alimentari","Freschi","FRESCHI","SURGELATI","SURGELATI VEGETALI","ALTRE VERDURE","ALTRE"
"1107","Alimentari","Freschi","FRESCHI","SURGELATI","SURGELATI VEGETALI","PATATE","DA FRIGGERE"
"1108","Alimentari","Freschi","FRESCHI","SURGELATI","SURGELATI VEGETALI","PATATE","DA FORNO"
"1109","Alimentari","Freschi","FRESCHI","SURGELATI","SURGELATI VEGETALI","PATATE","NOVELLE"
"1110","Alimentari","Freschi","FRESCHI","SURGELATI","SURGELATI VEGETALI","PATATE","ALTRE"
"1111","Alimentari","Freschi","FRESCHI","SURGELATI","SURGELATI VEGETALI","ODORI","CIPOLLA"
"1112","Alimentari","Freschi","FRESCHI","SURGELATI","SURGELATI VEGETALI","ODORI","PREZZEMOLO"
"1113","Alimentari","Freschi","FRESCHI","SURGELATI","SURGELATI VEGETALI","ODORI","MISTI"
"1114","Alimentari","Freschi","FRESCHI","SURGELATI","SURGELATI VEGETALI","ODORI","ALTRI"
"1115","Alimentari","Freschi","FRESCHI","SURGELATI","SURGELATI VEGETALI","PREPARATI / PANATI","CROCCHETTE"
"1116","Alimentari","Freschi","FRESCHI","SURGELATI","SURGELATI VEGETALI","PREPARATI / PANATI","GRIGLIATI"
"1117","Alimentari","Freschi","FRESCHI","SURGELATI","SURGELATI VEGETALI","PREPARATI / PANATI","OLIVE"
"1118","Alimentari","Freschi","FRESCHI","SURGELATI","SURGELATI VEGETALI","PREPARATI / PANATI","ALTRI"
"1119","Alimentari","Freschi","FRESCHI","SURGELATI","SURGELATI VEGETALI","FRUTTA","FRUTTI DI BOSCO"
"1120","Alimentari","Freschi","FRESCHI","SURGELATI","SURGELATI VEGETALI","FRUTTA","ALTRA"
"1121","Alimentari","Freschi","FRESCHI","SURGELATI","SURGELATI PESCE","CROSTACEI","GAMBERETTI CON GUSCIO"
"1122","Alimentari","Freschi","FRESCHI","SURGELATI","SURGELATI PESCE","CROSTACEI","GAMBERETTI SGUSCIATI"
"1123","Alimentari","Freschi","FRESCHI","SURGELATI","SURGELATI PESCE","CROSTACEI","CODE DI GAMBERO"
"1124","Alimentari","Freschi","FRESCHI","SURGELATI","SURGELATI PESCE","CROSTACEI","GAMBERI"
"1125","Alimentari","Freschi","FRESCHI","SURGELATI","SURGELATI PESCE","CROSTACEI","SCAMPI"
"1126","Alimentari","Freschi","FRESCHI","SURGELATI","SURGELATI PESCE","CROSTACEI","ALTRI CROSTACEI"
"1127","Alimentari","Freschi","FRESCHI","SURGELATI","SURGELATI PESCE","MOLLUSCHI","VONGOLE"
"1128","Alimentari","Freschi","FRESCHI","SURGELATI","SURGELATI PESCE","MOLLUSCHI","COZZE"
"1129","Alimentari","Freschi","FRESCHI","SURGELATI","SURGELATI PESCE","MOLLUSCHI","ALTRI"
"1130","Alimentari","Freschi","FRESCHI","SURGELATI","SURGELATI PESCE","MOLLAME","POLIPI"
"1131","Alimentari","Freschi","FRESCHI","SURGELATI","SURGELATI PESCE","MOLLAME","SEPPIE"
"1132","Alimentari","Freschi","FRESCHI","SURGELATI","SURGELATI PESCE","MOLLAME","TOTANI"
"1133","Alimentari","Freschi","FRESCHI","SURGELATI","SURGELATI PESCE","MOLLAME","CALAMARI"
"1134","Alimentari","Freschi","FRESCHI","SURGELATI","SURGELATI PESCE","MOLLAME","MISTO"
"1135","Alimentari","Freschi","FRESCHI","SURGELATI","SURGELATI PESCE","MOLLAME","ALTRO"
"1136","Alimentari","Freschi","FRESCHI","SURGELATI","SURGELATI PESCE","FILETTI","MERLUZZO"
"1137","Alimentari","Freschi","FRESCHI","SURGELATI","SURGELATI PESCE","FILETTI","PLATESSA"
"1138","Alimentari","Freschi","FRESCHI","SURGELATI","SURGELATI PESCE","FILETTI","NASELLO"
"1139","Alimentari","Freschi","FRESCHI","SURGELATI","SURGELATI PESCE","FILETTI","ALTRI"
"1140","Alimentari","Freschi","FRESCHI","SURGELATI","SURGELATI PESCE","PESCE PANATO","BASTONCINI"
"1141","Alimentari","Freschi","FRESCHI","SURGELATI","SURGELATI PESCE","PESCE PANATO","FILETTI"
"1142","Alimentari","Freschi","FRESCHI","SURGELATI","SURGELATI PESCE","PESCE PANATO","MISTO PER FRITTO"
"1143","Alimentari","Freschi","FRESCHI","SURGELATI","SURGELATI PESCE","PESCE PANATO","ALTRO"
"1144","Alimentari","Freschi","FRESCHI","SURGELATI","SURGELATI PESCE","MISTO PER PREPARAZIONI","PER RISOTTO /SPAGHETTI"
"1145","Alimentari","Freschi","FRESCHI","SURGELATI","SURGELATI PESCE","MISTO PER PREPARAZIONI","PER INSALATE/ANTIPASTI"
"1146","Alimentari","Freschi","FRESCHI","SURGELATI","SURGELATI PESCE","MISTO PER PREPARAZIONI","PER ZUPPA"
"1147","Alimentari","Freschi","FRESCHI","SURGELATI","SURGELATI PESCE","MISTO PER PREPARAZIONI","PER SPIEDINI"
"1148","Alimentari","Freschi","FRESCHI","SURGELATI","SURGELATI PESCE","MISTO PER PREPARAZIONI","PER GRIGLIATA"
"1149","Alimentari","Freschi","FRESCHI","SURGELATI","SURGELATI PESCE","MISTO PER PREPARAZIONI","SURIMI"
"1150","Alimentari","Freschi","FRESCHI","SURGELATI","SURGELATI PESCE","MISTO PER PREPARAZIONI","ALTRO"
"1151","Alimentari","Freschi","FRESCHI","SURGELATI","SURGELATI PESCE","ALTRO","INTERO"
"1152","Alimentari","Freschi","FRESCHI","SURGELATI","SURGELATI PESCE","ALTRO","TRANCI"
"1153","Alimentari","Freschi","FRESCHI","SURGELATI","SURGELATI PESCE","ALTRO","ALTRO"
"1154","Alimentari","Freschi","FRESCHI","SURGELATI","SURGELATI CARNE","NATURALE","MANZO"
"1155","Alimentari","Freschi","FRESCHI","SURGELATI","SURGELATI CARNE","NATURALE","POLLO/TACCHINO"
"1156","Alimentari","Freschi","FRESCHI","SURGELATI","SURGELATI CARNE","NATURALE","SELVAGGINA"
"1157","Alimentari","Freschi","FRESCHI","SURGELATI","SURGELATI CARNE","NATURALE","RANE/LUMACHE"
"1158","Alimentari","Freschi","FRESCHI","SURGELATI","SURGELATI CARNE","NATURALE","ALTRO"
"1159","Alimentari","Freschi","FRESCHI","SURGELATI","SURGELATI CARNE","PREPARATA/PANATA","CORDON BLEU"
"1160","Alimentari","Freschi","FRESCHI","SURGELATI","SURGELATI CARNE","PREPARATA/PANATA","COTOLETTE"
"1161","Alimentari","Freschi","FRESCHI","SURGELATI","SURGELATI CARNE","PREPARATA/PANATA","ALTRO"
"1162","Alimentari","Freschi","FRESCHI","SURGELATI","BASE FARINA","PIZZE","MARGHERITE"
"1163","Alimentari","Freschi","FRESCHI","SURGELATI","BASE FARINA","PIZZE","FARCITE"
"1164","Alimentari","Freschi","FRESCHI","SURGELATI","BASE FARINA","PIZZE","FUNZIONALI"
"1165","Alimentari","Freschi","FRESCHI","SURGELATI","BASE FARINA","PIZZETTE","MARGHERITE"
"1166","Alimentari","Freschi","FRESCHI","SURGELATI","BASE FARINA","PIZZETTE","FARCITE"
"1167","Alimentari","Freschi","FRESCHI","SURGELATI","BASE FARINA","PIZZETTE","FUNZIONALI"
"1168","Alimentari","Freschi","FRESCHI","SURGELATI","BASE FARINA","FOCACCE","FOCACCE"
"1169","Alimentari","Freschi","FRESCHI","SURGELATI","BASE FARINA","TORTE","TORTE SALATE"
"1170","Alimentari","Freschi","FRESCHI","SURGELATI","BASE FARINA","TORTE","TORTE DOLCI"
"1171","Alimentari","Freschi","FRESCHI","SURGELATI","BASE FARINA","TORTE","FUNZIONALI"
"1172","Alimentari","Freschi","FRESCHI","SURGELATI","BASE FARINA","SNACK","SOFFICINI /CREPES"
"1173","Alimentari","Freschi","FRESCHI","SURGELATI","BASE FARINA","SNACK","ALTRI"
"1174","Alimentari","Freschi","FRESCHI","SURGELATI","BASE FARINA","SNACK","FUNZIONALI"
"1175","Alimentari","Freschi","FRESCHI","SURGELATI","BASE FARINA","BASE PER PREPARATI","PASTA SFOGLIA"
"1176","Alimentari","Freschi","FRESCHI","SURGELATI","BASE FARINA","BASE PER PREPARATI","PASTA FROLLA"
"1177","Alimentari","Freschi","FRESCHI","SURGELATI","BASE FARINA","BASE PER PREPARATI","BASE PER PIZZA"
"1178","Alimentari","Freschi","FRESCHI","SURGELATI","BASE FARINA","BASE PER PREPARATI","VOL AU VENT"
"1179","Alimentari","Freschi","FRESCHI","SURGELATI","BASE FARINA","BASE PER PREPARATI","FUNZIONALI"
"1180","Alimentari","Freschi","FRESCHI","SURGELATI","BASE FARINA","BASE PER PREPARATI","ALTRE"
"1181","Alimentari","Freschi","FRESCHI","SURGELATI","BASE FARINA","PANE","PANE"
"1182","Alimentari","Freschi","FRESCHI","SURGELATI","BASE FARINA","PANE","ALTRO"
"1183","Alimentari","Freschi","FRESCHI","SURGELATI","BASE FARINA","PANE","FUNZIONALI"
"1184","Alimentari","Freschi","FRESCHI","SURGELATI","BASE FARINA","PASTA","RIPIENA"
"1185","Alimentari","Freschi","FRESCHI","SURGELATI","BASE FARINA","PASTA","ALTRA"
"1186","Alimentari","Freschi","FRESCHI","SURGELATI","GELATI","ASPORTO","GUSTI CLASSICI"
"1187","Alimentari","Freschi","FRESCHI","SURGELATI","GELATI","ASPORTO","GUSTI ARRICCHITI"
"1188","Alimentari","Freschi","FRESCHI","SURGELATI","GELATI","ASPORTO","SPECIALI/FUNZIONALI"
"1189","Alimentari","Freschi","FRESCHI","SURGELATI","GELATI","MULTIPACK","CONI"
"1190","Alimentari","Freschi","FRESCHI","SURGELATI","GELATI","MULTIPACK","STECCHI"
"1191","Alimentari","Freschi","FRESCHI","SURGELATI","GELATI","MULTIPACK","GHIACCIOLI"
"1192","Alimentari","Freschi","FRESCHI","SURGELATI","GELATI","MULTIPACK","BISCOTTI"
"1193","Alimentari","Freschi","FRESCHI","SURGELATI","GELATI","MULTIPACK","COPPETTE"
"1194","Alimentari","Freschi","FRESCHI","SURGELATI","GELATI","MULTIPACK","MINI/SNACK"
"1195","Alimentari","Freschi","FRESCHI","SURGELATI","GELATI","MULTIPACK","SPECIALI/FUNZIONALI"
"1196","Alimentari","Freschi","FRESCHI","SURGELATI","GELATI","PASTICCERIA","TRANCI"
"1197","Alimentari","Freschi","FRESCHI","SURGELATI","GELATI","PASTICCERIA","TORTE"
"1198","Alimentari","Freschi","FRESCHI","SURGELATI","GELATI","PASTICCERIA","ALTRA"
"1199","Alimentari","Freschi","FRESCHI","SURGELATI","GELATI","PASTICCERIA","SPECIALI/FUNZIONALI"
"1200","Alimentari","Freschi","FRESCHI","SURGELATI","GELATI","MONOPORZIONI/AVANCASSA","MONOPORZIONI/AVANCASSA"
"1201","Alimentari","Freschi","FRESCHI","SURGELATI","PIATTI PRONTI SURGELATI","PRIMI PIATTI","BASE PASTA"
"1202","Alimentari","Freschi","FRESCHI","SURGELATI","PIATTI PRONTI SURGELATI","PRIMI PIATTI","BASE RISO"
"1203","Alimentari","Freschi","FRESCHI","SURGELATI","PIATTI PRONTI SURGELATI","PRIMI PIATTI","ZUPPE"
"1204","Alimentari","Freschi","FRESCHI","SURGELATI","PIATTI PRONTI SURGELATI","PRIMI PIATTI","FUNZIONALI"
"1205","Alimentari","Freschi","FRESCHI","SURGELATI","PIATTI PRONTI SURGELATI","PRIMI PIATTI","ALTRI"
"1206","Alimentari","Freschi","FRESCHI","SURGELATI","PIATTI PRONTI SURGELATI","SECONDI PIATTI","BASE PESCE"
"1207","Alimentari","Freschi","FRESCHI","SURGELATI","PIATTI PRONTI SURGELATI","SECONDI PIATTI","BASE CARNE"
"1208","Alimentari","Freschi","FRESCHI","SURGELATI","PIATTI PRONTI SURGELATI","SECONDI PIATTI","ALTRI"
"1209","Alimentari","Freschi","FRESCHI","SURGELATI","PIATTI PRONTI SURGELATI","CONTORNI","BASE VERDURE"
"1210","Alimentari","Freschi","FRESCHI","SURGELATI","PIATTI PRONTI SURGELATI","CONTORNI","PATATE/PURE'"
"1211","Alimentari","Freschi","FRESCHI","SURGELATI","PIATTI PRONTI SURGELATI","CONTORNI","ALTRI"
"1212","Alimentari","Freschi","FRESCHI","SURGELATI","PIATTI PRONTI SURGELATI","ETNICI","ETNICI"
"1213","Alimentari","Freschi","FRESCHI","SURGELATI","PIATTI PRONTI SURGELATI","SUGHI/CONDIMENTI","CARNE"
"1214","Alimentari","Freschi","FRESCHI","SURGELATI","PIATTI PRONTI SURGELATI","SUGHI/CONDIMENTI","PESCE"
"1215","Alimentari","Freschi","FRESCHI","SURGELATI","PIATTI PRONTI SURGELATI","SUGHI/CONDIMENTI","ALTRI"
"1216","Alimentari","Freschi","FRESCHI","SURGELATI","SURGELATI","SURGELATI","SURGELATI"
"1217","Non alimentari","No Food","PERSONA","SPORT","TUTE/ABB.TO SPORTIVO","ABB.TO FITNESS","PANTALONE LUNGO"
"1218","Non alimentari","No Food","PERSONA","SPORT","TUTE/ABB.TO SPORTIVO","ABB.TO FITNESS","PANTALONE CORTO"
"1219","Non alimentari","No Food","PERSONA","SPORT","TUTE/ABB.TO SPORTIVO","ABB.TO FITNESS","MAGLIE"
"1220","Non alimentari","No Food","PERSONA","SPORT","TUTE/ABB.TO SPORTIVO","ABB.TO FITNESS","TUTE INTERE"
"1221","Non alimentari","No Food","PERSONA","SPORT","TUTE/ABB.TO SPORTIVO","ABB.TO FITNESS","BODY"
"1222","Non alimentari","No Food","PERSONA","SPORT","TUTE/ABB.TO SPORTIVO","ABB.TO FITNESS","VARIE"
"1223","Non alimentari","No Food","PERSONA","SPORT","TUTE/ABB.TO SPORTIVO","ABB.TO TENNIS","PANTALONE/GONNA"
"1224","Non alimentari","No Food","PERSONA","SPORT","TUTE/ABB.TO SPORTIVO","ABB.TO TENNIS","MAGLIE"
"1225","Non alimentari","No Food","PERSONA","SPORT","TUTE/ABB.TO SPORTIVO","ABB.TO TENNIS","COMPLETI"
"1226","Non alimentari","No Food","PERSONA","SPORT","TUTE/ABB.TO SPORTIVO","ABB.TO TENNIS","VARIE"
"1227","Non alimentari","No Food","PERSONA","SPORT","TUTE/ABB.TO SPORTIVO","ABB.TO CALCIO","MAGLIE"
"1228","Non alimentari","No Food","PERSONA","SPORT","TUTE/ABB.TO SPORTIVO","ABB.TO CALCIO","PANTALONCINI"
"1229","Non alimentari","No Food","PERSONA","SPORT","TUTE/ABB.TO SPORTIVO","ABB.TO CALCIO","ACCESSORI"
"1230","Non alimentari","No Food","PERSONA","SPORT","TUTE/ABB.TO SPORTIVO","PISCINA","COSTUME BAMBINO"
"1231","Non alimentari","No Food","PERSONA","SPORT","TUTE/ABB.TO SPORTIVO","PISCINA","OLIMPIONICO BAMBINA"
"1232","Non alimentari","No Food","PERSONA","SPORT","TUTE/ABB.TO SPORTIVO","PISCINA","OLIMPIONICO DONNA"
"1233","Non alimentari","No Food","PERSONA","SPORT","TUTE/ABB.TO SPORTIVO","PISCINA","COSTUME UOMO"
"1234","Non alimentari","No Food","PERSONA","SPORT","TUTE/ABB.TO SPORTIVO","PISCINA","ACCAPPATOIO"
"1235","Non alimentari","No Food","PERSONA","SPORT","TUTE/ABB.TO SPORTIVO","PISCINA","VARIE"
"1236","Alimentari","Freschi","FRESCHI","LIBERO SERVIZIO","FORMAGGI STAGIONATI","PASTA FILATA","PROVOLONE CLASSICO"
"1237","Alimentari","Freschi","FRESCHI","LIBERO SERVIZIO","FORMAGGI STAGIONATI","PASTA FILATA","PROVOLONE DOLCE"
"1238","Alimentari","Freschi","FRESCHI","LIBERO SERVIZIO","FORMAGGI STAGIONATI","PASTA FILATA","CACIOCAVALLO"
"1239","Alimentari","Freschi","FRESCHI","LIBERO SERVIZIO","FORMAGGI STAGIONATI","PASTA FILATA","SCAMORZE"
"1240","Alimentari","Freschi","FRESCHI","LIBERO SERVIZIO","FORMAGGI STAGIONATI","PASTA FILATA","ALTRI"
"1241","Alimentari","Freschi","FRESCHI","LIBERO SERVIZIO","FORMAGGI STAGIONATI","DURI/SEMIDURI","EMMENTAL"
"1242","Alimentari","Freschi","FRESCHI","LIBERO SERVIZIO","FORMAGGI STAGIONATI","DURI/SEMIDURI","ALTRI  OCCHIATI"
"1243","Alimentari","Freschi","FRESCHI","LIBERO SERVIZIO","FORMAGGI STAGIONATI","DURI/SEMIDURI","PECORINO ROMANO"
"1244","Alimentari","Freschi","FRESCHI","LIBERO SERVIZIO","FORMAGGI STAGIONATI","DURI/SEMIDURI","PECORINO SARDO"
"1245","Alimentari","Freschi","FRESCHI","LIBERO SERVIZIO","FORMAGGI STAGIONATI","DURI/SEMIDURI","PECORINO TOSCANO"
"1246","Alimentari","Freschi","FRESCHI","LIBERO SERVIZIO","FORMAGGI STAGIONATI","DURI/SEMIDURI","ALTRI PECORINI"
"1247","Alimentari","Freschi","FRESCHI","LIBERO SERVIZIO","FORMAGGI STAGIONATI","DURI/SEMIDURI","PECORINO GRATTUGIATO"
"1248","Alimentari","Freschi","FRESCHI","LIBERO SERVIZIO","FORMAGGI STAGIONATI","DURI/SEMIDURI","ASIAGO"
"1249","Alimentari","Freschi","FRESCHI","LIBERO SERVIZIO","FORMAGGI STAGIONATI","DURI/SEMIDURI","MONTASIO"
"1250","Alimentari","Freschi","FRESCHI","LIBERO SERVIZIO","FORMAGGI STAGIONATI","DURI/SEMIDURI","FONTINA"
"1251","Alimentari","Freschi","FRESCHI","LIBERO SERVIZIO","FORMAGGI STAGIONATI","DURI/SEMIDURI","TOMA"
"1252","Alimentari","Freschi","FRESCHI","LIBERO SERVIZIO","FORMAGGI STAGIONATI","DURI/SEMIDURI","ALTRI NAZIONALI"
"1253","Alimentari","Freschi","FRESCHI","LIBERO SERVIZIO","FORMAGGI STAGIONATI","DURI/SEMIDURI","ALTRI ESTERI"
"1254","Alimentari","Freschi","FRESCHI","LIBERO SERVIZIO","FORMAGGI STAGIONATI","FETTE","DURI/SEMIDURI"
"1255","Alimentari","Freschi","FRESCHI","LIBERO SERVIZIO","FORMAGGI STAGIONATI","FETTE","PASTA FILATA"
"1256","Alimentari","Freschi","FRESCHI","LIBERO SERVIZIO","FORMAGGI STAGIONATI","FETTE","MORBIDI"
"1257","Alimentari","Freschi","FRESCHI","LIBERO SERVIZIO","FORMAGGI FUSI","FORMAGGI FUSI","FETTE"
"1258","Alimentari","Freschi","FRESCHI","LIBERO SERVIZIO","FORMAGGI FUSI","FORMAGGI FUSI","PORZIONI"
"1259","Alimentari","Freschi","FRESCHI","LIBERO SERVIZIO","FORMAGGI FUSI","FORMAGGI FUSI","ALTRI"
"1260","Alimentari","Freschi","FRESCHI","LIBERO SERVIZIO","GRANA LIBERO SERVIZIO","TRANCI","PARMIGIANO REGGIANO"
"1261","Alimentari","Freschi","FRESCHI","LIBERO SERVIZIO","GRANA LIBERO SERVIZIO","TRANCI","GRANA PADANO"
"1262","Alimentari","Freschi","FRESCHI","LIBERO SERVIZIO","GRANA LIBERO SERVIZIO","TRANCI","ALTRI"
"1263","Alimentari","Freschi","FRESCHI","LIBERO SERVIZIO","GRANA LIBERO SERVIZIO","GRATTUGIATI","PARMIGIANO REGGIANO"
"1264","Alimentari","Freschi","FRESCHI","LIBERO SERVIZIO","GRANA LIBERO SERVIZIO","GRATTUGIATI","GRANA PADANO"
"1265","Alimentari","Freschi","FRESCHI","LIBERO SERVIZIO","GRANA LIBERO SERVIZIO","GRATTUGIATI","MIX DI GRATTUGIATI"
"1266","Alimentari","Freschi","FRESCHI","LIBERO SERVIZIO","GRANA LIBERO SERVIZIO","GRATTUGIATI","ALTRI"
"1267","Alimentari","Freschi","FRESCHI","LIBERO SERVIZIO","GRANA LIBERO SERVIZIO","BOCCONCINI/STICK/FETTE","PARMIGIANO REGGIANO"
"1268","Alimentari","Freschi","FRESCHI","LIBERO SERVIZIO","GRANA LIBERO SERVIZIO","BOCCONCINI/STICK/FETTE","GRANA PADANO"
"1269","Alimentari","Freschi","FRESCHI","LIBERO SERVIZIO","GRANA LIBERO SERVIZIO","BOCCONCINI/STICK/FETTE","ALTRI"
"1270","Alimentari","Freschi","FRESCHI","LIBERO SERVIZIO","SALUMI LIBERO SERVIZIO","AFFETTATI","PROSCIUTTO COTTO NAZIONALE"
